_id,id,title,publish_date,source_country,sentiment
646fddfd0576b45037ddb3f9,84067714,Property-sector deals to retreat from near-record €5.5bn levels of last year,2023-01-02 03:30:00,ie,-0.44
646fddfd0576b45037ddb3fa,70866722,Unlocking the potential: Cork’s docklands could breathe life into the city,2022-11-19 19:00:00,ie,0.504
646fddfd0576b45037ddb3fb,111878118,Game-changing Greencastle breakwater to be completed by end of 2023,2023-04-25 17:58:53,ie,0.184
646fddfd0576b45037ddb3fc,72720722,Why I&#39;m happy Ireland didn&#39;t qualify for the Qatar World Cup,2022-11-25 10:42:56,ie,-0.597
646fddfd0576b45037ddb3fd,98394976,"Local councils paying significantly more for social housing, department figures show",2023-02-23 06:45:00,ie,-0.282
646fddfd0576b45037ddb3fe,83078684,HSA confirms 26 work-related fatalities in Ireland in 2022,2022-12-30 02:04:10,ie,0.095
646fddfd0576b45037ddb3ff,111703842,New €1.1 million Sligo childcare facility to open this summer creating 25 jobs,2023-04-24 10:44:54,ie,0.284
646fddfd0576b45037ddb400,110850984,Drop in diesel demand may indicate future recession risk,2023-04-16 22:37:50,ie,-0.056
646fddfd0576b45037ddb401,72717384,Wind farmers claim windfall tax will damage industry,2022-11-25 11:36:26,ie,-0.387
646fddfd0576b45037ddb402,67744110,All Island Resilience Conference - MerrionStreet,2022-11-09 18:38:33,ie,0.545
646fddfd0576b45037ddb403,83178548,Farming accounts for almost half of work-related fatalities in 2022,2022-12-30 09:30:00,ie,-0.117
646fddfd0576b45037ddb404,67629616,'I got this wrong': Meta's layoffs and what they mean for Ireland,2022-11-09 21:00:03,ie,-0.196
646fddfd0576b45037ddb405,72493884,Opaque pricing hides actual value of SaaS,2022-11-24 18:48:07,ie,-0.469
646fddfd0576b45037ddb406,78726642,Feeder schools: Ironing out statistical quirks,2022-12-14 02:00:00,ie,-0.292
646fddfd0576b45037ddb407,101395656,"After Saudi plans and 'bumps in the road', State's 'biggest' regeneration project breaks ground",2023-03-06 19:03:16,ie,0.369
646fddfd0576b45037ddb408,70454104,Twenty four local firms vie for top honours at Limerick Chamber business awards,2022-11-18 13:00:00,ie,0.273
646fddfd0576b45037ddb409,98689558,"Pepper’s interest rate hike, Digicel downgrade and Stripe’s fundraising",2023-02-24 07:35:05,ie,-0.013
646fddfd0576b45037ddb40a,101336640,TAMS 3 is &#8216;out of date already&#8217; &#8211; ICMSA,2023-03-06 11:30:15,ie,-0.774
646fddfd0576b45037ddb40b,84435260,Home-buyers paying out almost eight times the average wage for a home ,2023-01-03 09:14:18,ie,-0.05
646fddfd0576b45037ddb40c,101518206,Kilkenny craftspeople encouraged to carve out a career in built heritage,2023-03-07 10:35:55,ie,0.628
646fddfd0576b45037ddb40d,74737984,Homebuilding slumps by 16% as construction inflation soars,2022-12-01 13:34:53,ie,-0.186
646fddfd0576b45037ddb40e,97898068,Macra hits out at omission of milking parlour building costs in TAMS,2023-02-21 12:30:00,ie,0.001
646fddfd0576b45037ddb40f,112222344,INMO call for Health and Safety Authority resources to protect healthcare staff from danger,2023-04-28 10:53:28,ie,-0.159
646fddfd0576b45037ddb410,71757522,Opposition parties join forces to pressure Government over housing emergency,2022-11-22 15:31:11,ie,-0.27
646fddfd0576b45037ddb411,112308642,"More action needed to ensure healthcare workers are better protected, INMO president says",2023-04-28 19:00:07,ie,-0.006
646fddfd0576b45037ddb412,96380056,Popular supermarket chain increases workforce in Limerick,2023-02-15 20:30:00,ie,0.159
646fddfd0576b45037ddb413,91950702,First Hydrogen reveals preview of next-generation vans,2023-01-30 22:53:45,ie,-0.017
646fddfd0576b45037ddb414,104918108,&#8216;Soils Day&#8217;: All soil is different and must be managed accordingly,2023-03-20 16:00:00,ie,0.113
646fddfd0576b45037ddb415,103462570,Work to develop new €24m university campus in Limerick to begin in coming weeks,2023-03-15 08:30:00,ie,-0.118
646fddfd0576b45037ddb416,109234602,Housebuilding targets are going to clash with Government&amp;rsquo;s climate goals,2023-04-06 03:30:00,ie,-0.23
646fddfd0576b45037ddb417,100085780,Gas was primary source of electricity generation in January,2023-03-01 11:50:00,ie,-0.239
646fddfd0576b45037ddb418,81046830,Climate Action Plan: Focus on solar power broadly welcomed,2022-12-22 12:20:00,ie,-0.013
646fddfd0576b45037ddb419,80883536,"Climate Action Plan pins hopes on greener buildings, cleaner transport and a lot more wind – but activists say implementation is key",2022-12-21 21:36:04,ie,-0.096
646fddfd0576b45037ddb41a,100396210,Turkish Airlines Posts Record Annual Revenues,2023-03-02 12:33:57,ie,0.172
